param,value,seed,utility,cost,budget,deadline,n_calls,budget_violated,deadline_violated
alpha,1.0,18,0.1683501461371799,7.440696031260396,155.0823292355684,19.60666037514872,6,0,0
alpha,1.0,19,0.9919841995355695,47.92302668000565,131.60824276103375,19.862898078778638,28,0,0
alpha,1.0,20,0.9974997612746596,21.048284388812167,134.29226761742163,19.958703892824378,17,0,0
alpha,1.0,21,0.9981961934071815,20.639529350641066,139.12113008344372,19.843787378916698,13,0,0
alpha,1.0,22,0.9225428121514038,21.324030441389247,140.66756343517122,19.803204055432648,14,0,0
alpha,1.0,23,0.11979302209099074,11.367508219358523,136.5863853511848,19.480229956760965,6,0,0
alpha,1.0,24,0.9999691585457,21.345064536062573,138.17123892700104,19.94516111902214,18,0,0
alpha,1.0,25,0.9973349047152917,23.082473399554445,135.88020396365374,19.25849627610971,15,0,0
alpha,1.0,26,0.9999317200748293,31.813216163864592,143.1248727696422,19.80792683335864,20,0,0
alpha,1.0,27,0.9982201142940165,21.078219739714605,130.57836900741074,19.420525435150985,16,0,0
alpha,1.0,28,0.052589870427794616,14.281662744096522,147.465555274769,19.412142967066202,6,0,0
alpha,1.0,29,0.03989288413016645,7.029194897220624,130.42183078406205,18.932451989928257,6,0,0
alpha,1.0,30,0.08807185370189163,7.340726620943298,151.11096179152463,19.9252085629421,6,0,0
alpha,1.0,31,0.20311961501725706,6.909065531187874,149.15941366616298,19.871201634054508,6,0,0
alpha,1.0,32,0.9999276760259452,41.943332981393105,142.91676154637193,19.84641866559803,24,0,0
alpha,1.0,33,0.9566155897597866,28.377256978848592,130.506759931809,19.777003045958736,17,0,0
alpha,1.0,34,0.11686754128795684,13.786252525753543,132.9610802154222,19.88655045064477,6,0,0
alpha,1.0,35,0.9815711772522652,19.243862667867127,136.9327162943822,19.836250928435575,14,0,0
alpha,1.0,36,0.9999998179644812,47.34020208698443,153.0181221973548,19.567585729708593,31,0,0
alpha,1.0,37,0.9532548091615283,45.64045008894852,140.89289672768192,19.72624671210666,22,0,0
alpha,1.0,38,0.34730563058615005,9.92576291864641,133.1253098712788,19.633510268365523,6,0,0
alpha,1.0,39,0.9999999738719508,109.04022445507647,155.3379970668439,19.99683355705441,25,0,0
alpha,1.5,0,0.6963418224566211,34.35320983981507,137.89631199191288,19.991287378496622,27,0,0
alpha,1.5,1,0.9268040096413488,51.78275536797294,147.65681597713458,19.60417075082427,25,0,0
alpha,1.5,2,0.17074916310514465,8.02042276014094,151.22357072303768,19.485027239327536,6,0,0
alpha,1.5,3,0.9939937564642977,68.48321832203911,135.98800305696625,19.072753308148155,17,0,0
