profile,K,seed,policy,utility,cost,budget,n_calls,budget_violated,deadline_violated,oracle_utility,regret
toolbench_subset,100,0,react_capped,0.6752118641851053,84.85220667844371,80.12796290288524,17,1,0,0.9704346285704011,0.2952227643852958
toolbench_subset,100,0,bwk_vanilla,0.9159267288894296,79.86265616832401,80.12796290288524,21,0,0,0.9704346285704011,0.05450789968097147
toolbench_subset,100,0,cbuc,0.6228152088182861,26.9423330219403,80.12796290288524,22,0,0,0.9704346285704011,0.34761941975211497
toolbench_subset,100,0,cbuc_aggr,0.06514502166584502,6.180861850993605,80.12796290288524,6,0,0,0.9704346285704011,0.9052896069045561
toolbench_subset,100,1,react_capped,0.49597205562618674,83.7727902425172,81.52401510726949,20,1,0,0.9879906855377731,0.4920186299115864
toolbench_subset,100,1,bwk_vanilla,0.8308636238151188,77.8863445121463,81.52401510726949,22,0,1,0.9879906855377731,0.15712706172265434
toolbench_subset,100,1,cbuc,0.8735598368219623,36.98144214468924,81.52401510726949,24,0,0,0.9879906855377731,0.11443084871581088
toolbench_subset,100,1,cbuc_aggr,0.9891364103625654,24.987571212351362,81.52401510726949,19,0,0,0.9879906855377731,-0.0011457248247922491
toolbench_subset,100,2,react_capped,0.867338359856378,85.33200381974419,84.381112523691,18,1,0,0.9945690074713867,0.12723064761500869
toolbench_subset,100,2,bwk_vanilla,0.35352905639088117,83.65761368324748,84.381112523691,18,0,0,0.9945690074713867,0.6410399510805055
toolbench_subset,100,2,cbuc,0.1553996031949837,6.61654934727509,84.381112523691,6,0,0,0.9945690074713867,0.839169404276403
toolbench_subset,100,2,cbuc_aggr,0.18408760133467317,5.207104700120349,84.381112523691,6,0,0,0.9945690074713867,0.8104814061367135
toolbench_subset,100,3,react_capped,0.6516375825915748,83.34230781696054,88.47599964945363,17,0,1,0.945432268871051,0.29379468627947625
toolbench_subset,100,3,bwk_vanilla,0.5145128649509909,85.56376314498695,88.47599964945363,24,0,1,0.945432268871051,0.4309194039200601
toolbench_subset,100,3,cbuc,0.16090194605006125,6.067486060848053,88.47599964945363,6,0,0,0.945432268871051,0.7845303228209898
toolbench_subset,100,3,cbuc_aggr,0.621530749867222,33.102907020376335,88.47599964945363,20,0,0,0.945432268871051,0.323901519003829
toolbench_subset,100,4,react_capped,0.21346814617648524,85.98719129519557,85.0319099806752,6,1,0,0.9327222053803235,0.7192540592038382
toolbench_subset,100,4,bwk_vanilla,0.7100932084996243,90.46693881690943,85.0319099806752,18,1,0,0.9327222053803235,0.22262899688069915
toolbench_subset,100,4,cbuc,0.23703724130888681,9.784842699537776,85.0319099806752,6,0,0,0.9327222053803235,0.6956849640714367
toolbench_subset,100,4,cbuc_aggr,0.26842219749452956,9.931401680806086,85.0319099806752,6,0,0,0.9327222053803235,0.6643000078857939
toolbench_subset,100,5,react_capped,0.7355964849358885,88.00284587792973,83.33756324626827,21,1,1,0.9682635289556215,0.23266704401973304
toolbench_subset,100,5,bwk_vanilla,0.7376479227441834,85.90205703511978,83.33756324626827,19,1,0,0.9682635289556215,0.23061560621143806
toolbench_subset,100,5,cbuc,0.473015645446323,26.95734947579482,83.33756324626827,18,0,0,0.9682635289556215,0.4952478835092985
toolbench_subset,100,5,cbuc_aggr,0.3132205834047327,7.913904869886705,83.33756324626827,6,0,0,0.9682635289556215,0.6550429455508888
toolbench_subset,100,6,react_capped,0.19397255583719408,77.27273133627284,75.77677917008072,16,1,0,0.9614857139813304,0.7675131581441363
toolbench_subset,100,6,bwk_vanilla,0.824480194594827,80.17728553473367,75.77677917008072,16,1,0,0.9614857139813304,0.1370055193865034
toolbench_subset,100,6,cbuc,0.33628405405795225,13.280241975625929,75.77677917008072,6,0,0,0.9614857139813304,0.6252016599233782
toolbench_subset,100,6,cbuc_aggr,0.32955514045808854,8.672471161416304,75.77677917008072,6,0,0,0.9614857139813304,0.6319305735232419
toolbench_subset,100,7,react_capped,0.7554638032688532,93.28798945570793,84.47017775989374,15,1,0,0.9671178703708607,0.21165406710200751
toolbench_subset,100,7,bwk_vanilla,0.8615988085686265,83.56677090622756,84.47017775989374,22,0,1,0.9671178703708607,0.10551906180223425
toolbench_subset,100,7,cbuc,0.14461807211728028,5.826209191111001,84.47017775989374,6,0,0,0.9671178703708607,0.8224997982535804
toolbench_subset,100,7,cbuc_aggr,0.30983670635713545,7.288323275706294,84.47017775989374,6,0,0,0.9671178703708607,0.6572811640137253
toolbench_subset,100,8,react_capped,0.5723963951305013,91.37896541938107,82.32069827367528,21,1,0,0.9880856607244668,0.41568926559396546
toolbench_subset,100,8,bwk_vanilla,0.6267063181568577,82.19805722611508,82.32069827367528,17,0,0,0.9880856607244668,0.36137934256760906
toolbench_subset,100,8,cbuc,0.9998880407036902,25.318928624649534,82.32069827367528,21,0,0,0.9880856607244668,-0.011802379979223399
toolbench_subset,100,8,cbuc_aggr,0.99999634488021,42.01177390440217,82.32069827367528,27,0,0,0.9880856607244668,-0.011910684155743256
toolbench_subset,100,9,react_capped,0.5788021448363905,87.78075344472973,86.82883521609689,19,1,0,0.9732587814113278,0.39445663657493735
toolbench_subset,100,9,bwk_vanilla,0.6771967041351981,85.09343597782583,86.82883521609689,21,0,0,0.9732587814113278,0.29606207727612976
toolbench_subset,100,9,cbuc,0.9390995693679395,29.502785314445994,86.82883521609689,17,0,0,0.9732587814113278,0.03415921204338834
toolbench_subset,100,9,cbuc_aggr,0.7242562360305401,67.83159799715037,86.82883521609689,20,0,0,0.9732587814113278,0.2490025453807877
toolbench_subset,100,10,react_capped,0.7807295800692042,66.09446792421065,84.27446539640884,18,0,1,0.9751935244151752,0.19446394434597092
toolbench_subset,100,10,bwk_vanilla,0.8389583604045353,84.18286447461028,84.27446539640884,21,0,1,0.9751935244151752,0.13623516401063984
toolbench_subset,100,10,cbuc,0.9977606389353416,18.530214596656087,84.27446539640884,15,0,0,0.9751935244151752,-0.022567114520166465
toolbench_subset,100,10,cbuc_aggr,0.19628051067852526,13.84174968684247,84.27446539640884,6,0,0,0.9751935244151752,0.7789130137366499
toolbench_subset,100,11,react_capped,0.47134152616343616,86.16445866758576,84.25822466337668,19,1,0,0.9875457462966116,0.5162042201331755
toolbench_subset,100,11,bwk_vanilla,0.4837179436743543,84.20308230133871,84.25822466337668,17,0,0,0.9875457462966116,0.5038278026222573
toolbench_subset,100,11,cbuc,0.9665437963706714,31.441474501951177,84.25822466337668,20,0,0,0.9875457462966116,0.021001949925940178
toolbench_subset,100,11,cbuc_aggr,0.731194290316374,26.702202043293607,84.25822466337668,17,0,0,0.9875457462966116,0.2563514559802377
toolbench_subset,100,12,react_capped,0.4147151042949263,111.26412720918344,81.79088039418455,12,1,0,0.9839651686821436,0.5692500643872173
