sparsity,seed,policy,utility,cost,budget,budget_violated,oracle_utility,regret
0.1,0,react_capped,0.35217128591902913,176.5040284258293,142.1105743999624,1,0.968459746802703,0.6162884608836738
0.1,0,bwk_vanilla,0.6268564326112185,94.8274899612125,142.1105743999624,0,0.968459746802703,0.3416033141914845
0.1,0,cbuc,0.20458038999301564,14.909365531267989,142.1105743999624,0,0.968459746802703,0.7638793568096873
0.1,0,cbuc_aggr,0.2642025974294696,5.7001844731869875,142.1105743999624,0,0.968459746802703,0.7042571493732334
0.1,1,react_capped,0.7758530311828893,68.69412885941719,141.7400947549034,0,0.8541688506385383,0.07831581945564903
0.1,1,bwk_vanilla,0.7687606446253581,92.03656145897601,141.7400947549034,0,0.8541688506385383,0.08540820601318022
0.1,1,cbuc,0.9239923475702713,21.908651147721734,141.7400947549034,0,0.8541688506385383,-0.06982349693173295
0.1,1,cbuc_aggr,0.9430920384054371,15.214320229214454,141.7400947549034,0,0.8541688506385383,-0.08892318776689878
0.1,2,react_capped,0.35574514037970417,58.1184062177217,135.51510178554867,0,0.9174258302637412,0.5616806898840371
0.1,2,bwk_vanilla,0.6804421407228771,117.75346344732282,135.51510178554867,0,0.9174258302637412,0.23698368954086413
0.1,2,cbuc,0.20122501522961367,9.455412075803082,135.51510178554867,0,0.9174258302637412,0.7162008150341276
0.1,2,cbuc_aggr,0.23479134917143352,8.39516761768295,135.51510178554867,0,0.9174258302637412,0.6826344810923077
0.1,3,react_capped,0.9142618868339437,153.08792710669903,149.15543402467856,1,0.9169782623127033,0.0027163754787595806
0.1,3,bwk_vanilla,0.6496517570183276,102.97751166005091,149.15543402467856,0,0.9169782623127033,0.26732650529437574
0.1,3,cbuc,0.1355177615611588,11.083835849336387,149.15543402467856,0,0.9169782623127033,0.7814605007515445
0.1,3,cbuc_aggr,0.2347964466564405,7.044189253476904,149.15543402467856,0,0.9169782623127033,0.6821818156562628
0.1,4,react_capped,0.8313296768548998,66.38389382335158,128.13352683311908,0,0.8828752862394343,0.05154560938453456
0.1,4,bwk_vanilla,0.8483523258651748,70.09959645439442,128.13352683311908,0,0.8828752862394343,0.034522960374259504
0.1,4,cbuc,0.9996536473691972,46.35806988760199,128.13352683311908,0,0.8828752862394343,-0.11677836112976281
0.1,4,cbuc_aggr,0.2652845476782839,7.439786928083832,128.13352683311908,0,0.8828752862394343,0.6175907385611504
0.1,5,react_capped,0.5687574455159183,70.51396067549729,145.7262839826023,0,0.848438579058495,0.2796811335425766
