K,rho,cost_tail,utility_sparsity,seed,policy,utility,cost,latency,n_calls,budget,deadline,budget_violated,deadline_violated,oracle_utility,regret
10,0.2,1.5,0.2,3055167975,react_uncapped,0.9902519132502987,133.116798371833,39.94133203713664,30,10.2736598446204,19.49255006632956,1,1,0.6667599406859512,-0.3234919725643475
10,0.2,1.5,0.2,3055167975,react_capped,0.24713880928320242,11.52816475726795,5.305359385841855,4,10.2736598446204,19.49255006632956,1,0,0.6667599406859512,0.4196211314027488
10,0.2,1.5,0.2,3055167975,nonadaptive_greedy,0.6690582995991589,5.673884137588772,4.526890437865587,3,10.2736598446204,19.49255006632956,0,0,0.6667599406859512,-0.002298358913207621
10,0.2,1.5,0.2,3055167975,bwk_vanilla,0.08580665781139318,10.256245114366802,4.745839228694092,4,10.2736598446204,19.49255006632956,0,0,0.6667599406859512,0.580953282874558
10,0.2,1.5,0.2,3055167975,cbuc,0.0,2.9372379702468523,1.9056195949339931,1,10.2736598446204,19.49255006632956,0,0,0.6667599406859512,0.6667599406859512
10,0.2,1.5,0.2,3055167975,cbuc_mod,0.018599818711274918,7.498847886584521,3.1817803091246906,2,10.2736598446204,19.49255006632956,0,0,0.6667599406859512,0.6481601219746763
10,0.2,1.5,0.2,3055167975,cbuc_aggr,0.1970124530066626,8.59293251881693,8.378282832078613,6,10.2736598446204,19.49255006632956,0,0,0.6667599406859512,0.46974748767928864
10,0.2,1.5,0.2,3055167975,lagrangian,0.1961849040681951,7.528213235964783,3.364262491461969,3,10.2736598446204,19.49255006632956,0,0,0.6667599406859512,0.4705750366177561
10,0.2,1.5,0.2,3055167975,cvar_bwk,0.304062236519987,9.128647274401523,5.373689151927961,5,10.2736598446204,19.49255006632956,0,0,0.6667599406859512,0.36269770416596425
10,0.2,1.5,0.2,3055167975,precheck_ucb,0.15116230350027315,7.658670369218331,5.315624094865877,4,10.2736598446204,19.49255006632956,0,0,0.6667599406859512,0.5155976371856781
10,0.2,1.5,0.2,3055167975,cc_knapsack,0.0,0.0,0.0,0,10.2736598446204,19.49255006632956,0,0,0.6667599406859512,0.6667599406859512
10,0.2,1.5,0.2,2674561344,react_uncapped,0.9832281844660636,74.20079606715119,36.739768611560216,30,7.5702126552081,19.83928083180779,1,1,0.5974013975757266,-0.385826786890337
10,0.2,1.5,0.2,2674561344,react_capped,0.0,9.096803717058798,2.2548218035974363,4,7.5702126552081,19.83928083180779,1,0,0.5974013975757266,0.5974013975757266
10,0.2,1.5,0.2,2674561344,nonadaptive_greedy,0.5654527946064047,5.564792321240361,3.832287992142396,3,7.5702126552081,19.83928083180779,0,0,0.5974013975757266,0.03194860296932189
10,0.2,1.5,0.2,2674561344,bwk_vanilla,0.0,12.08663310581789,3.8551714054505064,4,7.5702126552081,19.83928083180779,1,0,0.5974013975757266,0.5974013975757266
10,0.2,1.5,0.2,2674561344,cbuc,0.04766655052059188,3.2749587934507853,1.4039914418009385,1,7.5702126552081,19.83928083180779,0,0,0.5974013975757266,0.5497348470551348
10,0.2,1.5,0.2,2674561344,cbuc_mod,0.0,2.3481186852813427,1.0248872944191945,1,7.5702126552081,19.83928083180779,0,0,0.5974013975757266,0.5974013975757266
10,0.2,1.5,0.2,2674561344,cbuc_aggr,0.058517366166158324,12.90644196862646,1.8819804797309454,1,7.5702126552081,19.83928083180779,1,0,0.5974013975757266,0.5388840314095683
10,0.2,1.5,0.2,2674561344,lagrangian,0.6473630028149273,13.30486373733026,4.480950943435908,4,7.5702126552081,19.83928083180779,1,0,0.5974013975757266,-0.04996160523920068
10,0.2,1.5,0.2,2674561344,cvar_bwk,0.5529324050421369,10.753451038156674,3.5629677000344646,3,7.5702126552081,19.83928083180779,1,0,0.5974013975757266,0.04446899253358971
10,0.2,1.5,0.2,2674561344,precheck_ucb,0.33199116877088963,6.677250243419324,10.964692016389808,7,7.5702126552081,19.83928083180779,0,0,0.5974013975757266,0.265410228804837
10,0.2,1.5,0.2,2674561344,cc_knapsack,0.0,0.0,0.0,0,7.5702126552081,19.83928083180779,0,0,0.5974013975757266,0.5974013975757266
